handle_ou_url,nom,niche,langue,s_par_plan,abonnes_pdf,videos_pdf,reseau,trajectoire,notes
https://www.youtube.com/channel/UCaG7EroyixUjRKZF-FnVq4Q,Library of Thoth,spiritualite,en,,29000,398,Thoth,inconnue,funnel + collabs ; reseau clone EN
https://www.youtube.com/channel/UCKBlkHY98q2U4FXjgkGjKtA,Daniel Moreno,moreno,en,11.4,,39,autre,inconnue,"persona avatar HeyGen, acteur paye ; 10 mesures de rythme"
https://www.youtube.com/channel/UCK5_wPRQE0A9fckzZOpu1BQ,Gnostic Library,spiritualite,en,,,47,Gnose,inconnue,Insights Academy
https://www.youtube.com/channel/UCZTwX9UJXfmC7r3B372c-Tg,Enoch Discoveries,spiritualite,en,,,54,autre,inconnue,theme Henoch ; satellite du reseau
https://www.youtube.com/channel/UCyLgdmGcHPcK-te9SD8LcVg,Hermetic Talk,spiritualite,en,,,26,autre,inconnue,Hermetisme ; hub des collaborations
https://www.youtube.com/channel/UClcrTKDv-pCUj7h-qXkNtZA,Bibliotheque de Thot,spiritualite,fr,,67600,324,Thoth,inconnue,clone FR du reseau Thoth
https://www.youtube.com/channel/UC3R_h-o-YhvVhORKR1hozRg,Biblioteca di Thoth,spiritualite,it,,13100,241,Thoth,inconnue,clone IT du reseau Thoth
https://www.youtube.com/channel/UCmjkBAZHCmD_jIksI-nQQAw,Bibliotheque Gnostique,spiritualite,fr,,,120,Gnose,inconnue,clone FR du reseau Gnose
https://www.youtube.com/channel/UCxyfUzswkFzBlLelp-nCIKw,La Biblioteca Gnostica,spiritualite,es,,,14,Gnose,inconnue,clone ES du reseau Gnose
https://www.youtube.com/channel/UCaj8oe2fiZNjXzX1QEZ1F2A,Elias Yoder Amish,yoder,en,4.1,345000,,autre,decolle,home hacks avatar ; fusee mai->aout 2026 ; 92 mesures de rythme
https://www.youtube.com/channel/UCjgcBjK0-FaUx9np7AuM7BQ,Life According to Science,science_pop,en,,80700,,autre,decrue,"faceless mecanisme corporel ; 80,7K en 12 mois"
https://www.youtube.com/channel/UCCvYs2N07Xa-psHasaLVvWw,Health Snippet,science_pop,en,,89900,,autre,morte,faceless ; arret 01/2025
https://www.youtube.com/channel/UCXWyDIBDOM_CjUpWfaC0kGA,CasiCreativo English,science_pop,en,,,57,autre,inconnue,animation d'organes ; reference DA ; 704K vues au PDF
https://www.youtube.com/channel/UCrueQugJZKCPQUpnAb1LxIg,CasiCreativo (parent ES),science_pop,es,,8750000,,autre,inconnue,maison-mere du clone EN
https://www.youtube.com/channel/UC2D2CMWXMOVWx7giW1n3LIg,Andrew Huberman,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 4 requetes, max 3 707 647 vues"
https://www.youtube.com/channel/UCsrUfLbd61Tjo3_Te1Gzuvg,This Is Not Covered - Dr. Ashley Froese,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 4 requetes, max 461 642 vues ; aussi DR peptides USA"
https://www.youtube.com/channel/UCnRVL1-HJnXWB_Xi2dAoTcg,Bryan Johnson,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 3 requetes, max 1 655 908 vues"
https://www.youtube.com/channel/UC5fdyC4LxyyYv8Am6nDrkmg,FoundMyFitness Clips,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 3 requetes, max 1 034 692 vues"
https://www.youtube.com/channel/UC1FLIaKDzkU5Z0knDYYKyPQ,Dr. Paul Anderson,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 3 requetes, max 251 758 vues ; aussi DR peptides USA"
https://www.youtube.com/channel/UC3w193M5tYPJqF0Hi-7U-2g,Dr. Eric Berg DC,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 2 requetes, max 1 217 326 vues"
https://www.youtube.com/channel/UCGLAPJjQh7ege-N08u_GZrg,Doctor Alex,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 2 requetes, max 794 407 vues"
https://www.youtube.com/channel/UCvQECJukTDE2i6aCoMnS-Vg,Big Think,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 2 requetes, max 697 254 vues"
https://www.youtube.com/channel/UCbk_QsfaFZG6PdQeCvaYXJQ,Jay Shetty Podcast,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 2 requetes, max 688 135 vues"
https://www.youtube.com/channel/UCoiTVuiMdqBRMSBGMEcmxCw,The Aspen Institute,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 2 requetes, max 244 432 vues"
https://www.youtube.com/channel/UCYZkc-c8pRYOb-45g52Gegg,Scripps Research,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 2 requetes, max 186 522 vues"
https://www.youtube.com/channel/UCAohrrjG-3gEp5QF1WlM9_w,Siim Land,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 2 requetes, max 123 383 vues"
https://www.youtube.com/channel/UC9LQOhavwlGM58bIWbnXTDA,"Sean Hashmi, MD",niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 2 requetes, max 17 240 vues"
https://www.youtube.com/channel/UC9LOASu8YpEXWueazOZSSFA,Romy Wolf,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 2 requetes, max 118 vues"
https://www.youtube.com/channel/UC1KmNKYC1l0stjctkGswl6g,After Skool,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 1 requete, max 8 591 089 vues"
https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 1 requete, max 7 427 683 vues"
https://www.youtube.com/channel/UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 1 requete, max 5 947 601 vues"
https://www.youtube.com/channel/UCB2wtYpfbCpYDc5TeTwuqFA,Will Tennyson,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 1 requete, max 2 613 990 vues"
https://www.youtube.com/channel/UCtbkymRCxreyNHb_ON2FCsQ,Rachael Ray Show,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 1 requete, max 2 014 202 vues"
https://www.youtube.com/channel/UCeY0bbntWzzVIaj2z3QigXg,NBC News,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 1 requete, max 1 781 685 vues ; media generaliste"
https://www.youtube.com/channel/UC9HQXWbt14wTdr_Tzc8ZE0A,Doctor Youn,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 1 requete, max 1 558 063 vues ; aussi DR peptides USA"
https://www.youtube.com/channel/UCk2U-Oqn7RXf-ydPqfSxG5g,Mel Robbins,niche_monetisable_longevite,en,,,,autre,inconnue,"scan 11/09 : 1 requete, max 1 419 731 vues"
https://www.youtube.com/channel/UCj_khJeDoaj-64e1uBv3Juw,Silas Crowe,home_hacks,en,8.6,,,autre,inconnue,5 mesures ; label PDF clone_silas (clone de Yoder)
https://www.youtube.com/channel/UC1POveOAgskyaUtJyiSL4bw,Grandpa's Old Ways,home_hacks,en,14.1,,,autre,inconnue,7 mesures ; label PDF clone_grandpa (clone de Yoder)
https://www.youtube.com/channel/UCZR2lW7Cd6okXiwwWPo83sQ,Old Ways Chronicle,home_hacks,en,6.9,,,autre,inconnue,10 mesures ; label PDF clone_oldways (clone de Yoder)
https://www.youtube.com/channel/UCL3_8mlFDtcVCZ-JatBEJKw,Saving Savers,frugal,en,3.8,,,autre,inconnue,doublon dans le PDF : 8 mesures 6.9 s/plan label frugal ET 8 mesures 3.8 s/plan label home_hacks ; ROADMAP retient 3.8
https://www.youtube.com/channel/UC9TcuDlGy9FTaYxhkOet0Ig,Frugal Solutions,home_hacks,en,5.7,,,autre,inconnue,8 mesures
https://www.youtube.com/channel/UCqz2PHyYFPdiDz8smw7NGcQ,Frozen Pennies,home_hacks,en,48.0,,,autre,inconnue,8 mesures
https://www.youtube.com/channel/UCXCqf3HmrOZC08xGUvPM_Pw,People Pattern,home_hacks,en,12.6,,,autre,inconnue,7 mesures
https://www.youtube.com/channel/UCqJgpaYNmI2UksYZ_fmK6jw,Homestead Tessie,home_hacks,en,60.0,,,autre,inconnue,7 mesures
https://www.youtube.com/channel/UCbA_kg47Ep3pxQJD9EoOSNw,Wellness + Wisdom Podcast,spiritualite,en,7.8,,,autre,inconnue,8 mesures
https://www.youtube.com/channel/UCUeE7Tm5TVgy0q9hxfBRi1Q,"Bruce H. Lipton, Ph.D.",spiritualite,en,18.5,,,autre,inconnue,4 mesures
https://www.youtube.com/channel/UCvymFeUlC8GWUIsKbEpjiCw,InsightInfinite,spiritualite,en,5.2,,,autre,inconnue,3 mesures
https://www.youtube.com/channel/UCanUv3m9l9CKGWJdkwDf5cQ,Affinity Arc,spiritualite,en,15.0,,,autre,inconnue,8 mesures
https://www.youtube.com/channel/UC2OSRYJZ8XzHdKK5GTX3sdg,Spiritual Dive,spiritualite,en,240.0,,,autre,inconnue,2 mesures seulement : mediane peu fiable
https://www.youtube.com/channel/UCx88hWQrq8fWZnpsiZZBqnA,Our History,histoire_doc,en,4.4,,,autre,inconnue,8 mesures
https://www.youtube.com/channel/UCe0u_axq5ZuNnffn5miaSzg,Tolga Ornek,histoire_doc,tr,4.6,,,autre,inconnue,"7 mesures ; absent du tableau de ROADMAP 3.3 ; langue turque, hors fr/en/es/it"
https://www.youtube.com/channel/UCCLHY_IKXRe9Yc4Iv25wLlQ,AB Documentary,histoire_doc,en,8.6,,,autre,inconnue,7 mesures
https://www.youtube.com/channel/UCa5URfUE8cyVUL2aSJoohKg,Khachakirner20,histoire_doc,hy,3.9,,,autre,inconnue,"4 mesures ; langue armenienne presumee, hors fr/en/es/it ; a confirmer par l'API"
https://www.youtube.com/channel/UCHh4joQ2tBz1WCSfvKYjHow,The History Channel,histoire_doc,en,18.5,,,autre,inconnue,7 mesures ; media
https://www.youtube.com/channel/UCWY9jN8Q2fFki-gpESkE_2A,Now Next,science_pop,en,18.5,,,autre,inconnue,6 mesures
https://www.youtube.com/channel/UCb7fZdCnbt3AqnjgoNyT6UQ,Space Matters,science_pop,en,7.3,,,autre,inconnue,8 mesures
https://www.youtube.com/channel/UCdsOTr6SmDrxuWE7sJFrkhQ,BBC Earth Science,science_pop,en,5.5,,,autre,inconnue,3 mesures ; media
https://www.youtube.com/channel/UCvJiYiBUbw4tmpRSZT2r1Hw,Science Channel,science_pop,en,5.7,,,autre,inconnue,8 mesures ; media
https://www.youtube.com/channel/UCMV3aTOwUtG5vwfH9_rzb2w,Spark,science_pop,en,6.0,,,autre,inconnue,8 mesures
https://www.youtube.com/channel/UC-yriE5bY713MoWJOrK5GvA,Surviving The Survivor: #BestGuests in True Crime,true_crime,en,80.0,,,autre,inconnue,3 mesures ; format podcast
https://www.youtube.com/channel/UCA9pHxhgIUDtQT-UIAazsJQ,Crime Is Fun,true_crime,en,9.6,,,autre,inconnue,8 mesures
https://www.youtube.com/channel/UCXIJgqnII2ZOINSWNOGFThA,Fox News,true_crime,en,48.0,,,autre,inconnue,4 mesures ; media generaliste
https://www.youtube.com/channel/UCz8K1occVvDTYDfFo7N5EZw,Law&Crime Network,true_crime,en,21.8,,,autre,inconnue,8 mesures
https://www.youtube.com/channel/UCXONTfGmLC7ltFgLAlHs24g,Ty Notts,true_crime,en,8.0,,,autre,inconnue,8 mesures
https://www.youtube.com/channel/UCh1BdyThQLNfxc7RjDQ7PNA,PickFinder,niche_monetisable_paris_sportifs,en,,,,autre,inconnue,"resolu par recherche, a verifier"
https://www.youtube.com/channel/UC3_BV40sp15nzAaIA9Eh1vg,Juiced Bets,niche_monetisable_paris_sportifs,en,,,,autre,inconnue,"resolu par recherche, a verifier"
https://www.youtube.com/channel/UCrvfEnKepCYFxQhCR8P8H_w,Clark Knows Ball,niche_monetisable_paris_sportifs,en,,,,autre,inconnue,"resolu par recherche, a verifier"
https://www.youtube.com/channel/UCvBgCo2OspTH1GS6jw-_Ndw,choicooks,niche_monetisable_paris_sportifs,en,,,,autre,inconnue,"resolu par recherche, a verifier"
https://www.youtube.com/channel/UCopbRLB1qmmd7VmkfP_hyvQ,Shane Huang,niche_monetisable_paris_sportifs,en,,,,autre,inconnue,"resolu par recherche, a verifier"
https://www.youtube.com/channel/UCJ0uo6CFc1Rszdg6lhaD-yw,Vincent Biohack,niche_monetisable_complements_fr,fr,,,,autre,inconnue,"resolu par recherche, a verifier"
https://www.youtube.com/channel/UCVUWx_JSsglCpzinJ9UVMkA,Quentin fitlife,niche_monetisable_complements_fr,fr,,,,autre,inconnue,"resolu par recherche, a verifier"
https://www.youtube.com/channel/UCKAnjYI1SsNQv-jIrF-r_tw,Nutripure,niche_monetisable_complements_fr,fr,,,,autre,inconnue,"resolu par recherche, a verifier ; marque"
https://www.youtube.com/channel/UC-yEqjPRqCikMD9c6D99-KA,Nutri&Co,niche_monetisable_complements_fr,fr,,,,autre,inconnue,"resolu par recherche, a verifier ; marque"
https://www.youtube.com/channel/UCoDg53_dd5tOZLuFpf8Treg,Novoma,niche_monetisable_complements_fr,fr,,,,autre,inconnue,"resolu par recherche, a verifier ; marque"
